"brand","total_rows","form_detected_rows","confirmed_url_rows","list_filled_rows","list_empty_rows","stop_stage","top_empty_reason","top_empty_reason_count","list_item_total","list_item_detail_like","list_item_non_detail","list_item_non_detail_pct","list_item_search","list_item_category","list_item_home_or_section","list_item_other","list_item_empty","bad_url_example"
"Carna4","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Carrier","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Celsius","1",,,,"1","form_detection_failed","","0","10","0","10","100","10","0","0","0","0","https://originsports.kr/search?keyword=%EC%8A%A4%ED%8C%8C%ED%81%B4%EB%A7%81"
"Chloé","1",,,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Depend","1",,,,"1","form_detection_failed","","0","8","0","8","100","8","0","0","0","0","https://silver-depend.com/product/search.html?keyword=%EC%96%B8%EB%8D%94%EC%9B%A8%EC%96%B4"
"Ecover","1",,,,"1","form_detection_failed","","0","10","0","10","100","10","0","0","0","0","https://ecoverkorea.com/product/search.html?keyword=%EC%8B%9D%EA%B8%B0%EC%84%B8%EC%B2%99%EA%B8%B0%EC%84%B8%EC%A0%9C"
"Ehrmann","1","0",,,"1","form_detection_failed","","0","5","0","5","100","0","5","0","0","0","https://ermon.co.kr/product/s20-plus/42/category/24/display/1/"
"Energizer","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Garibaldi","1","0",,,"1","form_detection_failed","","0","10","1","9","90","0","0","9","0","0","http://www.coffeebe.co.kr/"
"Garmin","1",,,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Gillette","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Glad","1",,,,"1","form_detection_failed","","0","10","10","0","0","0","0","0","0","0",""
"Goya","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Greenies","1",,,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Insta360","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Kärcher","1",,,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Kellogg’s Corn Frost","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Kent","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"L’Occitane","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"La Roche-Posay","1",,,,"1","form_detection_failed","","0","2","1","1","50","0","1","0","0","0","https://www.larocheposay.co.kr/product/list.do?cate2=1004"
"Lanvin","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Loacker","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Microsoft","1",,,,"1","form_detection_failed","","0","1","1","0","0","0","0","0","0","0",""
"MSI","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Nescafé Supremo","1",,,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Nespresso","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Noshibu","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Novalac","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Nutella","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Nutrena","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Oakley","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Omron","1",,,,"1","form_detection_failed","","0","5","0","5","100","0","5","0","0","0","https://omronmall.co.kr/product/%ED%94%84%EB%A1%9C%EB%B8%8C%EC%BB%A4%EB%B2%84%EA%B5%AC%EC%84%B1-%EC%98%A4%EB%AF%80%EB%A1%A0-%EA%B7%80-%EC%B2%B4%EC%98%A8%EA%B3%84-mc-523/285/category/26/display/1/"
"Oral-B","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Perrier","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Persil","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Philips Hue","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"PlayStation","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Polident","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Portmeirion","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Rinnai","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Roborock","1",,,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Seagram","1","0",,,"1","form_detection_failed","","0","10","0","10","100","0","0","0","10","0","https://cokeplay.cocacola.co.kr/store/brand/seagrams"
"Senka","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
