"brand","product_name_input","product_keyword1","product_keyword2","search_form_available","source_url","search_form_confirmed_url","item_rank","item_product_name","item_list_price","item_sale_price","item_url","item_image_src","item_keyword_used"
"미로","MH7000 초음파 가습기","초음파 가습기","MH7000","true","https://www.gomiro.com","https://www.gomiro.com/goods/goods_search.php?keyword=%EC%B4%88%EC%9D%8C%ED%8C%8C+%EA%B0%80%EC%8A%B5%EA%B8%B0","3","[리퍼마켓] 완벽세척 UV살균 대용량 가습기 MH7000 2세대 리퍼 (ioT 포함)","299,000원","149,000원","https://www.gomiro.com/goods/goods_list.php?cateCd=036001","https://cdn-pro-web-152-57.cdn-nhncommerce.com/gomiro1_godomall_com/data/skin/front/0783nordic_haus/img/mimg/top_cate_ban_07.jpg","초음파 가습기"
"미로","MH7000 초음파 가습기","초음파 가습기","MH7000","true","https://www.gomiro.com","https://www.gomiro.com/goods/goods_search.php?keyword=%EC%B4%88%EC%9D%8C%ED%8C%8C+%EA%B0%80%EC%8A%B5%EA%B8%B0","4","[26년형 신제품] 미로 간편세척 4L 무드등 초음파 가습기 MH-mini","49,900원","34,900원","https://www.gomiro.com/goods/goods_list.php?cateCd=030006","https://cdn-pro-web-152-57.cdn-nhncommerce.com/gomiro1_godomall_com/data/skin/front/0783nordic_haus/img/mimg/top_cate_ban_02.jpg","초음파 가습기"
"보아르","V30 에어프라이어","에어프라이어","V30","","","","","","","","","",""
"오쿠","슬림 식품건조기","식품건조기","Slim","true","https://ocoo.co.kr/","https://ocoo.co.kr/product/search.html?keyword=%EC%8B%9D%ED%92%88%EA%B1%B4%EC%A1%B0%EA%B8%B0","","","","","","",""
"트루엔","오메가3 맥스","오메가3","Max","true","https://truenmall.com/","https://truenmall.com/product/search.html?keyword=%EC%98%A4%EB%A9%94%EA%B0%803","1","트루엔 오엠비(오메가3+마그네슘+비타민B)","62,000원","52,000원","https://truenmall.com/product/%ED%8A%B8%EB%A3%A8%EC%97%94-%EC%98%A4%EC%97%A0%EB%B9%84%EC%98%A4%EB%A9%94%EA%B0%803%EB%A7%88%EA%B7%B8%EB%84%A4%EC%8A%98%EB%B9%84%ED%83%80%EB%AF%BCb/68/category/24/display/1/","https://ecimg.cafe24img.com/pg111b76739594076/truelab1/web/product/medium/20260105/c513a408079677d5f5367d142503f5b4.jpg","오메가3"
"트루엔","오메가3 맥스","오메가3","Max","true","https://truenmall.com/","https://truenmall.com/product/search.html?keyword=%EC%98%A4%EB%A9%94%EA%B0%803","2","트루엔 초임계 알티지오메가3, 초록이","85,000원","75,000원","https://truenmall.com/product/%ED%8A%B8%EB%A3%A8%EC%97%94-%EC%B4%88%EC%9E%84%EA%B3%84-%EC%95%8C%ED%8B%B0%EC%A7%80%EC%98%A4%EB%A9%94%EA%B0%803-%EC%B4%88%EB%A1%9D%EC%9D%B4/19/category/24/display/1/","https://ecimg.cafe24img.com/pg111b76739594076/truelab1/web/product/medium/20260210/cbe7979a68c9d05c88d3d016ab4fdaa5.jpg","오메가3"
"트루엔","오메가3 맥스","오메가3","Max","true","https://truenmall.com/","https://truenmall.com/product/search.html?keyword=%EC%98%A4%EB%A9%94%EA%B0%803","3","트루엔 초임계 알티지오메가3 폴라리스 이지","40,000원","","https://truenmall.com/product/%ED%8A%B8%EB%A3%A8%EC%97%94-%EC%B4%88%EC%9E%84%EA%B3%84-%EC%95%8C%ED%8B%B0%EC%A7%80%EC%98%A4%EB%A9%94%EA%B0%803-%ED%8F%B4%EB%9D%BC%EB%A6%AC%EC%8A%A4-%EC%9D%B4%0D%0A%EC%A7%80/16/category/24/display/1/","https://ecimg.cafe24img.com/pg111b76739594076/truelab1/web/product/medium/20260211/019cd695f076a688ec55f019309cf2f3.jpg","오메가3"
"트루엔","오메가3 맥스","오메가3","Max","true","https://truenmall.com/","https://truenmall.com/product/search.html?keyword=%EC%98%A4%EB%A9%94%EA%B0%803","4","트루엔 알티지오메가3, 알래스카 파랑이","78,000원","68,000원","https://truenmall.com/product/%ED%8A%B8%EB%A3%A8%EC%97%94-%EC%95%8C%ED%8B%B0%EC%A7%80%EC%98%A4%EB%A9%94%EA%B0%803-%EC%95%8C%EB%9E%98%EC%8A%A4%EC%B9%B4-%ED%8C%8C%EB%9E%91%EC%9D%B4/13/category/24/display/1/","https://ecimg.cafe24img.com/pg111b76739594076/truelab1/web/product/medium/20260115/6c237391733e780f4e5aa3a516d3682e.jpg","오메가3"
"뉴트리코어","비타민D","비타민D","Vitamin D","false","https://nutricore.co.kr","","","","","","","",""
"루미르","LUMIR C 무드 램프","무드램프","C","true","https://lumir.co.kr/","https://lumir.co.kr/product/search.html?keyword=C","1","루미르R 테이블 램프 유리 유광","220,000원","","https://lumir.co.kr/product/detail.html?product_no=74&cate_no=42&display_group=1","https://lumir.co.kr/web/product/tiny/202507/4f73176afd1e2a0fc1d210cc899106a7.jpg","무드램프"
